id_scenariusza,polityka,tryb,interwencja_operatora,czas_decyzji_s,ryzyko_bazowe,ryzyko_resztkowe,redukcja_wzgledna,pewnosc_ai,srodowisko,predkosc,ladunek,niepewnosc,nowosc_sytuacji
S007,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0499,0.0499,0.0,0.887,odseparowane,niska,sredni,niska,znane
S008,Brak HITL,autonomia,False,1.8,0.0658,0.0658,0.0,0.782,odseparowane,niska,sredni,niska,rzadkie
S008,HITL informacyjny,monitorowanie,False,1.8,0.0658,0.0658,0.0,0.782,odseparowane,niska,sredni,niska,rzadkie
S008,Prawo weta operatora,weto,False,1.8,0.0658,0.0658,0.0,0.782,odseparowane,niska,sredni,niska,rzadkie
S008,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0658,0.0658,0.0,0.782,odseparowane,niska,sredni,niska,rzadkie
S008,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0658,0.0658,0.0,0.782,odseparowane,niska,sredni,niska,rzadkie
S009,Brak HITL,autonomia,False,1.8,0.0679,0.0679,0.0,0.739,odseparowane,niska,sredni,srednia,znane
S009,HITL informacyjny,monitorowanie,False,1.8,0.0679,0.0679,0.0,0.739,odseparowane,niska,sredni,srednia,znane
S009,Prawo weta operatora,weto,False,1.8,0.0679,0.0679,0.0,0.739,odseparowane,niska,sredni,srednia,znane
S009,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0679,0.0679,0.0,0.739,odseparowane,niska,sredni,srednia,znane
S009,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0679,0.0679,0.0,0.739,odseparowane,niska,sredni,srednia,znane
S010,Brak HITL,autonomia,False,1.8,0.0883,0.0883,0.0,0.634,odseparowane,niska,sredni,srednia,rzadkie
S010,HITL informacyjny,monitorowanie,False,1.8,0.0883,0.0883,0.0,0.634,odseparowane,niska,sredni,srednia,rzadkie
S010,Prawo weta operatora,weto,False,1.8,0.0883,0.0883,0.0,0.634,odseparowane,niska,sredni,srednia,rzadkie
S010,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0883,0.0883,0.0,0.634,odseparowane,niska,sredni,srednia,rzadkie
S010,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0883,0.0883,0.0,0.634,odseparowane,niska,sredni,srednia,rzadkie
S011,Brak HITL,autonomia,False,1.8,0.0957,0.0957,0.0,0.563,odseparowane,niska,sredni,wysoka,znane
S011,HITL informacyjny,monitorowanie,False,1.8,0.0957,0.0957,0.0,0.563,odseparowane,niska,sredni,wysoka,znane
S011,Prawo weta operatora,weto,False,1.8,0.0957,0.0957,0.0,0.563,odseparowane,niska,sredni,wysoka,znane
S011,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0957,0.0957,0.0,0.563,odseparowane,niska,sredni,wysoka,znane
S011,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0957,0.0957,0.0,0.563,odseparowane,niska,sredni,wysoka,znane
S012,Brak HITL,autonomia,False,1.8,0.1219,0.1219,0.0,0.458,odseparowane,niska,sredni,wysoka,rzadkie
S012,HITL informacyjny,monitorowanie,False,1.8,0.1219,0.1219,0.0,0.458,odseparowane,niska,sredni,wysoka,rzadkie
S012,Prawo weta operatora,weto,False,1.8,0.1219,0.1219,0.0,0.458,odseparowane,niska,sredni,wysoka,rzadkie
S012,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.1219,0.0625,0.487,0.458,odseparowane,niska,sredni,wysoka,rzadkie
S012,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.1219,0.0685,0.4384,0.458,odseparowane,niska,sredni,wysoka,rzadkie
S013,Brak HITL,autonomia,False,1.8,0.0609,0.0609,0.0,0.887,odseparowane,niska,ciezki,niska,znane
S013,HITL informacyjny,monitorowanie,False,1.8,0.0609,0.0609,0.0,0.887,odseparowane,niska,ciezki,niska,znane
S013,Prawo weta operatora,weto,False,1.8,0.0609,0.0609,0.0,0.887,odseparowane,niska,ciezki,niska,znane
S013,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0609,0.0609,0.0,0.887,odseparowane,niska,ciezki,niska,znane
S013,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0609,0.0609,0.0,0.887,odseparowane,niska,ciezki,niska,znane
S014,Brak HITL,autonomia,False,1.8,0.0803,0.0803,0.0,0.782,odseparowane,niska,ciezki,niska,rzadkie
S014,HITL informacyjny,monitorowanie,False,1.8,0.0803,0.0803,0.0,0.782,odseparowane,niska,ciezki,niska,rzadkie
S014,Prawo weta operatora,weto,False,1.8,0.0803,0.0803,0.0,0.782,odseparowane,niska,ciezki,niska,rzadkie
S014,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0803,0.0803,0.0,0.782,odseparowane,niska,ciezki,niska,rzadkie
S014,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0803,0.0803,0.0,0.782,odseparowane,niska,ciezki,niska,rzadkie
S015,Brak HITL,autonomia,False,1.8,0.0828,0.0828,0.0,0.739,odseparowane,niska,ciezki,srednia,znane
S015,HITL informacyjny,monitorowanie,False,1.8,0.0828,0.0828,0.0,0.739,odseparowane,niska,ciezki,srednia,znane
S015,Prawo weta operatora,weto,False,1.8,0.0828,0.0828,0.0,0.739,odseparowane,niska,ciezki,srednia,znane
S015,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0828,0.0828,0.0,0.739,odseparowane,niska,ciezki,srednia,znane
S015,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0828,0.0828,0.0,0.739,odseparowane,niska,ciezki,srednia,znane
S016,Brak HITL,autonomia,False,1.8,0.1076,0.1076,0.0,0.634,odseparowane,niska,ciezki,srednia,rzadkie
S016,HITL informacyjny,monitorowanie,False,1.8,0.1076,0.1076,0.0,0.634,odseparowane,niska,ciezki,srednia,rzadkie
S016,Prawo weta operatora,weto,False,1.8,0.1076,0.1076,0.0,0.634,odseparowane,niska,ciezki,srednia,rzadkie
S016,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1076,0.1076,0.0,0.634,odseparowane,niska,ciezki,srednia,rzadkie
S016,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1076,0.1076,0.0,0.634,odseparowane,niska,ciezki,srednia,rzadkie
S017,Brak HITL,autonomia,False,1.8,0.1167,0.1167,0.0,0.563,odseparowane,niska,ciezki,wysoka,znane
S017,HITL informacyjny,monitorowanie,False,1.8,0.1167,0.1167,0.0,0.563,odseparowane,niska,ciezki,wysoka,znane
S017,Prawo weta operatora,weto,False,1.8,0.1167,0.1167,0.0,0.563,odseparowane,niska,ciezki,wysoka,znane
S017,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1167,0.1167,0.0,0.563,odseparowane,niska,ciezki,wysoka,znane
S017,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1167,0.1167,0.0,0.563,odseparowane,niska,ciezki,wysoka,znane
S018,Brak HITL,autonomia,False,1.8,0.1487,0.1487,0.0,0.458,odseparowane,niska,ciezki,wysoka,rzadkie
S018,HITL informacyjny,monitorowanie,False,1.8,0.1487,0.1487,0.0,0.458,odseparowane,niska,ciezki,wysoka,rzadkie
S018,Prawo weta operatora,weto,False,1.8,0.1487,0.1487,0.0,0.458,odseparowane,niska,ciezki,wysoka,rzadkie
S018,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.1487,0.0763,0.487,0.458,odseparowane,niska,ciezki,wysoka,rzadkie
S018,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.1487,0.0835,0.4384,0.458,odseparowane,niska,ciezki,wysoka,rzadkie
S019,Brak HITL,autonomia,False,1.8,0.0806,0.0806,0.0,0.887,odseparowane,srednia,lekki,niska,znane
S019,HITL informacyjny,monitorowanie,False,1.8,0.0806,0.0806,0.0,0.887,odseparowane,srednia,lekki,niska,znane
S019,Prawo weta operatora,weto,False,1.8,0.0806,0.0806,0.0,0.887,odseparowane,srednia,lekki,niska,znane
S019,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0806,0.0806,0.0,0.887,odseparowane,srednia,lekki,niska,znane
S019,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0806,0.0806,0.0,0.887,odseparowane,srednia,lekki,niska,znane
S020,Brak HITL,autonomia,False,1.8,0.1041,0.1041,0.0,0.782,odseparowane,srednia,lekki,niska,rzadkie
S020,HITL informacyjny,monitorowanie,False,1.8,0.1041,0.1041,0.0,0.782,odseparowane,srednia,lekki,niska,rzadkie
S020,Prawo weta operatora,weto,False,1.8,0.1041,0.1041,0.0,0.782,odseparowane,srednia,lekki,niska,rzadkie
S020,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1041,0.1041,0.0,0.782,odseparowane,srednia,lekki,niska,rzadkie
S020,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1041,0.1041,0.0,0.782,odseparowane,srednia,lekki,niska,rzadkie
S021,Brak HITL,autonomia,False,1.8,0.107,0.107,0.0,0.739,odseparowane,srednia,lekki,srednia,znane
S021,HITL informacyjny,monitorowanie,False,1.8,0.107,0.107,0.0,0.739,odseparowane,srednia,lekki,srednia,znane
S021,Prawo weta operatora,weto,False,1.8,0.107,0.107,0.0,0.739,odseparowane,srednia,lekki,srednia,znane
S021,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.107,0.107,0.0,0.739,odseparowane,srednia,lekki,srednia,znane
S021,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.107,0.107,0.0,0.739,odseparowane,srednia,lekki,srednia,znane
S022,Brak HITL,autonomia,False,1.8,0.1356,0.1356,0.0,0.634,odseparowane,srednia,lekki,srednia,rzadkie
S022,HITL informacyjny,monitorowanie,False,1.8,0.1356,0.1356,0.0,0.634,odseparowane,srednia,lekki,srednia,rzadkie
S022,Prawo weta operatora,weto,False,1.8,0.1356,0.1356,0.0,0.634,odseparowane,srednia,lekki,srednia,rzadkie
S022,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1356,0.1356,0.0,0.634,odseparowane,srednia,lekki,srednia,rzadkie
S022,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1356,0.1356,0.0,0.634,odseparowane,srednia,lekki,srednia,rzadkie
S023,Brak HITL,autonomia,False,1.8,0.1456,0.1456,0.0,0.563,odseparowane,srednia,lekki,wysoka,znane
S023,HITL informacyjny,monitorowanie,False,1.8,0.1456,0.1456,0.0,0.563,odseparowane,srednia,lekki,wysoka,znane
S023,Prawo weta operatora,weto,False,1.8,0.1456,0.1456,0.0,0.563,odseparowane,srednia,lekki,wysoka,znane
S023,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1456,0.1456,0.0,0.563,odseparowane,srednia,lekki,wysoka,znane
S023,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1456,0.1456,0.0,0.563,odseparowane,srednia,lekki,wysoka,znane
S024,Brak HITL,autonomia,False,1.8,0.1796,0.1796,0.0,0.458,odseparowane,srednia,lekki,wysoka,rzadkie
S024,HITL informacyjny,monitorowanie,False,1.8,0.1796,0.1796,0.0,0.458,odseparowane,srednia,lekki,wysoka,rzadkie
S024,Prawo weta operatora,weto,False,1.8,0.1796,0.1796,0.0,0.458,odseparowane,srednia,lekki,wysoka,rzadkie
S024,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.1796,0.0921,0.487,0.458,odseparowane,srednia,lekki,wysoka,rzadkie
S024,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.1796,0.1009,0.4384,0.458,odseparowane,srednia,lekki,wysoka,rzadkie
S025,Brak HITL,autonomia,False,1.8,0.0966,0.0966,0.0,0.887,odseparowane,srednia,sredni,niska,znane
S025,HITL informacyjny,monitorowanie,False,1.8,0.0966,0.0966,0.0,0.887,odseparowane,srednia,sredni,niska,znane
S025,Prawo weta operatora,weto,False,1.8,0.0966,0.0966,0.0,0.887,odseparowane,srednia,sredni,niska,znane
S025,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0966,0.0966,0.0,0.887,odseparowane,srednia,sredni,niska,znane
S025,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0966,0.0966,0.0,0.887,odseparowane,srednia,sredni,niska,znane
S026,Brak HITL,autonomia,False,1.8,0.1247,0.1247,0.0,0.782,odseparowane,srednia,sredni,niska,rzadkie
S026,HITL informacyjny,monitorowanie,False,1.8,0.1247,0.1247,0.0,0.782,odseparowane,srednia,sredni,niska,rzadkie
S026,Prawo weta operatora,weto,False,1.8,0.1247,0.1247,0.0,0.782,odseparowane,srednia,sredni,niska,rzadkie
S026,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1247,0.1247,0.0,0.782,odseparowane,srednia,sredni,niska,rzadkie
S026,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1247,0.1247,0.0,0.782,odseparowane,srednia,sredni,niska,rzadkie
S027,Brak HITL,autonomia,False,1.8,0.1283,0.1283,0.0,0.739,odseparowane,srednia,sredni,srednia,znane
S027,HITL informacyjny,monitorowanie,False,1.8,0.1283,0.1283,0.0,0.739,odseparowane,srednia,sredni,srednia,znane
S027,Prawo weta operatora,weto,False,1.8,0.1283,0.1283,0.0,0.739,odseparowane,srednia,sredni,srednia,znane
S027,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1283,0.1283,0.0,0.739,odseparowane,srednia,sredni,srednia,znane
S027,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1283,0.1283,0.0,0.739,odseparowane,srednia,sredni,srednia,znane
S028,Brak HITL,autonomia,False,1.8,0.1625,0.1625,0.0,0.634,odseparowane,srednia,sredni,srednia,rzadkie
S028,HITL informacyjny,monitorowanie,False,1.8,0.1625,0.1625,0.0,0.634,odseparowane,srednia,sredni,srednia,rzadkie
S028,Prawo weta operatora,weto,False,1.8,0.1625,0.1625,0.0,0.634,odseparowane,srednia,sredni,srednia,rzadkie
S028,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1625,0.1625,0.0,0.634,odseparowane,srednia,sredni,srednia,rzadkie
S028,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1625,0.1625,0.0,0.634,odseparowane,srednia,sredni,srednia,rzadkie
S029,Brak HITL,autonomia,False,1.8,0.1745,0.1745,0.0,0.563,odseparowane,srednia,sredni,wysoka,znane
S029,HITL informacyjny,monitorowanie,False,1.8,0.1745,0.1745,0.0,0.563,odseparowane,srednia,sredni,wysoka,znane
S029,Prawo weta operatora,weto,False,1.8,0.1745,0.1745,0.0,0.563,odseparowane,srednia,sredni,wysoka,znane
S029,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1745,0.1745,0.0,0.563,odseparowane,srednia,sredni,wysoka,znane
S029,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1745,0.1745,0.0,0.563,odseparowane,srednia,sredni,wysoka,znane
S030,Brak HITL,autonomia,False,1.8,0.2152,0.2152,0.0,0.458,odseparowane,srednia,sredni,wysoka,rzadkie
S030,HITL informacyjny,monitorowanie,False,1.8,0.2152,0.2152,0.0,0.458,odseparowane,srednia,sredni,wysoka,rzadkie
S030,Prawo weta operatora,weto,False,1.8,0.2152,0.2152,0.0,0.458,odseparowane,srednia,sredni,wysoka,rzadkie
S030,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.2152,0.1104,0.487,0.458,odseparowane,srednia,sredni,wysoka,rzadkie
S030,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.2152,0.1209,0.4384,0.458,odseparowane,srednia,sredni,wysoka,rzadkie
S031,Brak HITL,autonomia,False,1.8,0.1137,0.1137,0.0,0.887,odseparowane,srednia,ciezki,niska,znane
S031,HITL informacyjny,monitorowanie,False,1.8,0.1137,0.1137,0.0,0.887,odseparowane,srednia,ciezki,niska,znane
S031,Prawo weta operatora,weto,False,1.8,0.1137,0.1137,0.0,0.887,odseparowane,srednia,ciezki,niska,znane
S031,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1137,0.1137,0.0,0.887,odseparowane,srednia,ciezki,niska,znane
S031,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1137,0.1137,0.0,0.887,odseparowane,srednia,ciezki,niska,znane
S032,Brak HITL,autonomia,False,1.8,0.1467,0.1467,0.0,0.782,odseparowane,srednia,ciezki,niska,rzadkie
S032,HITL informacyjny,monitorowanie,False,1.8,0.1467,0.1467,0.0,0.782,odseparowane,srednia,ciezki,niska,rzadkie
S032,Prawo weta operatora,weto,False,1.8,0.1467,0.1467,0.0,0.782,odseparowane,srednia,ciezki,niska,rzadkie
S032,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1467,0.1467,0.0,0.782,odseparowane,srednia,ciezki,niska,rzadkie
S032,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1467,0.1467,0.0,0.782,odseparowane,srednia,ciezki,niska,rzadkie
S033,Brak HITL,autonomia,False,1.8,0.1509,0.1509,0.0,0.739,odseparowane,srednia,ciezki,srednia,znane
S033,HITL informacyjny,monitorowanie,False,1.8,0.1509,0.1509,0.0,0.739,odseparowane,srednia,ciezki,srednia,znane
S033,Prawo weta operatora,weto,False,1.8,0.1509,0.1509,0.0,0.739,odseparowane,srednia,ciezki,srednia,znane
S033,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1509,0.1509,0.0,0.739,odseparowane,srednia,ciezki,srednia,znane
S033,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1509,0.1509,0.0,0.739,odseparowane,srednia,ciezki,srednia,znane
S034,Brak HITL,autonomia,False,1.8,0.1911,0.1911,0.0,0.634,odseparowane,srednia,ciezki,srednia,rzadkie
S034,HITL informacyjny,monitorowanie,False,1.8,0.1911,0.1911,0.0,0.634,odseparowane,srednia,ciezki,srednia,rzadkie
S034,Prawo weta operatora,weto,False,1.8,0.1911,0.1911,0.0,0.634,odseparowane,srednia,ciezki,srednia,rzadkie
S034,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1911,0.1911,0.0,0.634,odseparowane,srednia,ciezki,srednia,rzadkie
S034,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1911,0.1911,0.0,0.634,odseparowane,srednia,ciezki,srednia,rzadkie
S035,Brak HITL,autonomia,False,1.8,0.2053,0.2053,0.0,0.563,odseparowane,srednia,ciezki,wysoka,znane
S035,HITL informacyjny,monitorowanie,False,1.8,0.2053,0.2053,0.0,0.563,odseparowane,srednia,ciezki,wysoka,znane
S035,Prawo weta operatora,weto,False,1.8,0.2053,0.2053,0.0,0.563,odseparowane,srednia,ciezki,wysoka,znane
S035,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.2053,0.2053,0.0,0.563,odseparowane,srednia,ciezki,wysoka,znane
S035,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.2053,0.2053,0.0,0.563,odseparowane,srednia,ciezki,wysoka,znane
S036,Brak HITL,autonomia,False,1.8,0.2532,0.2532,0.0,0.458,odseparowane,srednia,ciezki,wysoka,rzadkie
S036,HITL informacyjny,monitorowanie,False,1.8,0.2532,0.2532,0.0,0.458,odseparowane,srednia,ciezki,wysoka,rzadkie
S036,Prawo weta operatora,weto,False,1.8,0.2532,0.2532,0.0,0.458,odseparowane,srednia,ciezki,wysoka,rzadkie
S036,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.2532,0.1299,0.487,0.458,odseparowane,srednia,ciezki,wysoka,rzadkie
S036,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.2532,0.1422,0.4384,0.458,odseparowane,srednia,ciezki,wysoka,rzadkie
S037,Brak HITL,autonomia,False,1.8,0.1493,0.1493,0.0,0.887,odseparowane,wysoka,lekki,niska,znane
S037,HITL informacyjny,monitorowanie,False,1.8,0.1493,0.1493,0.0,0.887,odseparowane,wysoka,lekki,niska,znane
S037,Prawo weta operatora,weto,False,1.8,0.1493,0.1493,0.0,0.887,odseparowane,wysoka,lekki,niska,znane
S037,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1493,0.1493,0.0,0.887,odseparowane,wysoka,lekki,niska,znane
S037,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1493,0.1493,0.0,0.887,odseparowane,wysoka,lekki,niska,znane
S038,Brak HITL,autonomia,False,1.8,0.1873,0.1873,0.0,0.782,odseparowane,wysoka,lekki,niska,rzadkie
S038,HITL informacyjny,monitorowanie,False,1.8,0.1873,0.1873,0.0,0.782,odseparowane,wysoka,lekki,niska,rzadkie
S038,Prawo weta operatora,weto,False,1.8,0.1873,0.1873,0.0,0.782,odseparowane,wysoka,lekki,niska,rzadkie
S038,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.1873,0.1873,0.0,0.782,odseparowane,wysoka,lekki,niska,rzadkie
S038,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.1873,0.1873,0.0,0.782,odseparowane,wysoka,lekki,niska,rzadkie
S039,Brak HITL,autonomia,False,1.8,0.192,0.192,0.0,0.739,odseparowane,wysoka,lekki,srednia,znane
S039,HITL informacyjny,monitorowanie,False,1.8,0.192,0.192,0.0,0.739,odseparowane,wysoka,lekki,srednia,znane
S039,Prawo weta operatora,weto,False,1.8,0.192,0.192,0.0,0.739,odseparowane,wysoka,lekki,srednia,znane
S039,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.192,0.192,0.0,0.739,odseparowane,wysoka,lekki,srednia,znane
S039,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.192,0.192,0.0,0.739,odseparowane,wysoka,lekki,srednia,znane
S040,Brak HITL,autonomia,False,1.8,0.2351,0.2351,0.0,0.634,odseparowane,wysoka,lekki,srednia,rzadkie
S040,HITL informacyjny,monitorowanie,False,1.8,0.2351,0.2351,0.0,0.634,odseparowane,wysoka,lekki,srednia,rzadkie
S040,Prawo weta operatora,weto,False,1.8,0.2351,0.2351,0.0,0.634,odseparowane,wysoka,lekki,srednia,rzadkie
S040,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.2351,0.2351,0.0,0.634,odseparowane,wysoka,lekki,srednia,rzadkie
S040,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.2351,0.2351,0.0,0.634,odseparowane,wysoka,lekki,srednia,rzadkie
S041,Brak HITL,autonomia,False,1.8,0.2497,0.2497,0.0,0.563,odseparowane,wysoka,lekki,wysoka,znane
S041,HITL informacyjny,monitorowanie,False,1.8,0.2497,0.2497,0.0,0.563,odseparowane,wysoka,lekki,wysoka,znane
S041,Prawo weta operatora,weto,False,1.8,0.2497,0.2497,0.0,0.563,odseparowane,wysoka,lekki,wysoka,znane
S041,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.2497,0.2497,0.0,0.563,odseparowane,wysoka,lekki,wysoka,znane
S041,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.2497,0.2497,0.0,0.563,odseparowane,wysoka,lekki,wysoka,znane
S042,Brak HITL,autonomia,False,1.8,0.2963,0.2963,0.0,0.458,odseparowane,wysoka,lekki,wysoka,rzadkie
