id_scenariusza,srodowisko,predkosc,ladunek,niepewnosc,nowosc_sytuacji,gestosc_ludzi,okluzja,pewnosc_ai,prawdopodobienstwo_incydentu,ciezkosc_skutku,ryzyko_bazowe
S024,odseparowane,srednia,lekki,wysoka,rzadkie,0.05,0.1,0.458,0.371,0.484,0.1796
S025,odseparowane,srednia,sredni,niska,znane,0.05,0.1,0.887,0.1666,0.58,0.0966
S026,odseparowane,srednia,sredni,niska,rzadkie,0.05,0.1,0.782,0.215,0.58,0.1247
S027,odseparowane,srednia,sredni,srednia,znane,0.05,0.1,0.739,0.2211,0.58,0.1283
S028,odseparowane,srednia,sredni,srednia,rzadkie,0.05,0.1,0.634,0.2801,0.58,0.1625
S029,odseparowane,srednia,sredni,wysoka,znane,0.05,0.1,0.563,0.3009,0.58,0.1745
S030,odseparowane,srednia,sredni,wysoka,rzadkie,0.05,0.1,0.458,0.371,0.58,0.2152
S031,odseparowane,srednia,ciezki,niska,znane,0.05,0.1,0.887,0.1666,0.6824,0.1137
S032,odseparowane,srednia,ciezki,niska,rzadkie,0.05,0.1,0.782,0.215,0.6824,0.1467
S033,odseparowane,srednia,ciezki,srednia,znane,0.05,0.1,0.739,0.2211,0.6824,0.1509
S034,odseparowane,srednia,ciezki,srednia,rzadkie,0.05,0.1,0.634,0.2801,0.6824,0.1911
S035,odseparowane,srednia,ciezki,wysoka,znane,0.05,0.1,0.563,0.3009,0.6824,0.2053
S036,odseparowane,srednia,ciezki,wysoka,rzadkie,0.05,0.1,0.458,0.371,0.6824,0.2532
S037,odseparowane,wysoka,lekki,niska,znane,0.05,0.1,0.887,0.2497,0.598,0.1493
S038,odseparowane,wysoka,lekki,niska,rzadkie,0.05,0.1,0.782,0.3132,0.598,0.1873
S039,odseparowane,wysoka,lekki,srednia,znane,0.05,0.1,0.739,0.321,0.598,0.192
S040,odseparowane,wysoka,lekki,srednia,rzadkie,0.05,0.1,0.634,0.3932,0.598,0.2351
S041,odseparowane,wysoka,lekki,wysoka,znane,0.05,0.1,0.563,0.4175,0.598,0.2497
S042,odseparowane,wysoka,lekki,wysoka,rzadkie,0.05,0.1,0.458,0.4955,0.598,0.2963
S043,odseparowane,wysoka,sredni,niska,znane,0.05,0.1,0.887,0.2497,0.694,0.1733
S044,odseparowane,wysoka,sredni,niska,rzadkie,0.05,0.1,0.782,0.3132,0.694,0.2174
S045,odseparowane,wysoka,sredni,srednia,znane,0.05,0.1,0.739,0.321,0.694,0.2228
S046,odseparowane,wysoka,sredni,srednia,rzadkie,0.05,0.1,0.634,0.3932,0.694,0.2729
S047,odseparowane,wysoka,sredni,wysoka,znane,0.05,0.1,0.563,0.4175,0.694,0.2898
S048,odseparowane,wysoka,sredni,wysoka,rzadkie,0.05,0.1,0.458,0.4955,0.694,0.3439
S049,odseparowane,wysoka,ciezki,niska,znane,0.05,0.1,0.887,0.2497,0.7964,0.1989
S050,odseparowane,wysoka,ciezki,niska,rzadkie,0.05,0.1,0.782,0.3132,0.7964,0.2495
S051,odseparowane,wysoka,ciezki,srednia,znane,0.05,0.1,0.739,0.321,0.7964,0.2557
S052,odseparowane,wysoka,ciezki,srednia,rzadkie,0.05,0.1,0.634,0.3932,0.7964,0.3131
S053,odseparowane,wysoka,ciezki,wysoka,znane,0.05,0.1,0.563,0.4175,0.7964,0.3325
S054,odseparowane,wysoka,ciezki,wysoka,rzadkie,0.05,0.1,0.458,0.4955,0.7964,0.3946
S055,wspoldzielone,niska,lekki,niska,znane,0.4,0.35,0.838,0.2789,0.447,0.1247
S056,wspoldzielone,niska,lekki,niska,rzadkie,0.4,0.35,0.733,0.3464,0.447,0.1548
S057,wspoldzielone,niska,lekki,srednia,znane,0.4,0.35,0.689,0.3546,0.447,0.1585
S058,wspoldzielone,niska,lekki,srednia,rzadkie,0.4,0.35,0.584,0.4295,0.447,0.192
S059,wspoldzielone,niska,lekki,wysoka,znane,0.4,0.35,0.513,0.4544,0.447,0.2031
S060,wspoldzielone,niska,lekki,wysoka,rzadkie,0.4,0.35,0.408,0.533,0.447,0.2382
S061,wspoldzielone,niska,sredni,niska,znane,0.4,0.35,0.838,0.2789,0.543,0.1514
S062,wspoldzielone,niska,sredni,niska,rzadkie,0.4,0.35,0.733,0.3464,0.543,0.1881
S063,wspoldzielone,niska,sredni,srednia,znane,0.4,0.35,0.689,0.3546,0.543,0.1925
S064,wspoldzielone,niska,sredni,srednia,rzadkie,0.4,0.35,0.584,0.4295,0.543,0.2332
S065,wspoldzielone,niska,sredni,wysoka,znane,0.4,0.35,0.513,0.4544,0.543,0.2467
S066,wspoldzielone,niska,sredni,wysoka,rzadkie,0.4,0.35,0.408,0.533,0.543,0.2894
S067,wspoldzielone,niska,ciezki,niska,znane,0.4,0.35,0.838,0.2789,0.6454,0.18
S068,wspoldzielone,niska,ciezki,niska,rzadkie,0.4,0.35,0.733,0.3464,0.6454,0.2236
S069,wspoldzielone,niska,ciezki,srednia,znane,0.4,0.35,0.689,0.3546,0.6454,0.2288
S070,wspoldzielone,niska,ciezki,srednia,rzadkie,0.4,0.35,0.584,0.4295,0.6454,0.2772
S071,wspoldzielone,niska,ciezki,wysoka,znane,0.4,0.35,0.513,0.4544,0.6454,0.2933
S072,wspoldzielone,niska,ciezki,wysoka,rzadkie,0.4,0.35,0.408,0.533,0.6454,0.344
S073,wspoldzielone,srednia,lekki,niska,znane,0.4,0.35,0.838,0.3917,0.561,0.2198
S074,wspoldzielone,srednia,lekki,niska,rzadkie,0.4,0.35,0.733,0.4688,0.561,0.263
S075,wspoldzielone,srednia,lekki,srednia,znane,0.4,0.35,0.689,0.4778,0.561,0.268
S076,wspoldzielone,srednia,lekki,srednia,rzadkie,0.4,0.35,0.584,0.5563,0.561,0.3121
S077,wspoldzielone,srednia,lekki,wysoka,znane,0.4,0.35,0.513,0.581,0.561,0.326
S078,wspoldzielone,srednia,lekki,wysoka,rzadkie,0.4,0.35,0.408,0.6552,0.561,0.3676
S079,wspoldzielone,srednia,sredni,niska,znane,0.4,0.35,0.838,0.3917,0.657,0.2574
S080,wspoldzielone,srednia,sredni,niska,rzadkie,0.4,0.35,0.733,0.4688,0.657,0.308
S081,wspoldzielone,srednia,sredni,srednia,znane,0.4,0.35,0.689,0.4778,0.657,0.3139
S082,wspoldzielone,srednia,sredni,srednia,rzadkie,0.4,0.35,0.584,0.5563,0.657,0.3655
S083,wspoldzielone,srednia,sredni,wysoka,znane,0.4,0.35,0.513,0.581,0.657,0.3817
S084,wspoldzielone,srednia,sredni,wysoka,rzadkie,0.4,0.35,0.408,0.6552,0.657,0.4305
S085,wspoldzielone,srednia,ciezki,niska,znane,0.4,0.35,0.838,0.3917,0.7594,0.2975
S086,wspoldzielone,srednia,ciezki,niska,rzadkie,0.4,0.35,0.733,0.4688,0.7594,0.356
S087,wspoldzielone,srednia,ciezki,srednia,znane,0.4,0.35,0.689,0.4778,0.7594,0.3628
S088,wspoldzielone,srednia,ciezki,srednia,rzadkie,0.4,0.35,0.584,0.5563,0.7594,0.4224
S089,wspoldzielone,srednia,ciezki,wysoka,znane,0.4,0.35,0.513,0.581,0.7594,0.4412
S090,wspoldzielone,srednia,ciezki,wysoka,rzadkie,0.4,0.35,0.408,0.6552,0.7594,0.4976
S091,wspoldzielone,wysoka,lekki,niska,znane,0.4,0.35,0.838,0.5175,0.675,0.3493
S092,wspoldzielone,wysoka,lekki,niska,rzadkie,0.4,0.35,0.733,0.5951,0.675,0.4017
S093,wspoldzielone,wysoka,lekki,srednia,znane,0.4,0.35,0.689,0.6037,0.675,0.4075
S094,wspoldzielone,wysoka,lekki,srednia,rzadkie,0.4,0.35,0.584,0.6761,0.675,0.4564
S095,wspoldzielone,wysoka,lekki,wysoka,znane,0.4,0.35,0.513,0.6978,0.675,0.471
S096,wspoldzielone,wysoka,lekki,wysoka,rzadkie,0.4,0.35,0.408,0.7599,0.675,0.5129
S097,wspoldzielone,wysoka,sredni,niska,znane,0.4,0.35,0.838,0.5175,0.771,0.399
S098,wspoldzielone,wysoka,sredni,niska,rzadkie,0.4,0.35,0.733,0.5951,0.771,0.4588
S099,wspoldzielone,wysoka,sredni,srednia,znane,0.4,0.35,0.689,0.6037,0.771,0.4655
S100,wspoldzielone,wysoka,sredni,srednia,rzadkie,0.4,0.35,0.584,0.6761,0.771,0.5213
S101,wspoldzielone,wysoka,sredni,wysoka,znane,0.4,0.35,0.513,0.6978,0.771,0.538
S102,wspoldzielone,wysoka,sredni,wysoka,rzadkie,0.4,0.35,0.408,0.7599,0.771,0.5859
S103,wspoldzielone,wysoka,ciezki,niska,znane,0.4,0.35,0.838,0.5175,0.8734,0.452
S104,wspoldzielone,wysoka,ciezki,niska,rzadkie,0.4,0.35,0.733,0.5951,0.8734,0.5197
S105,wspoldzielone,wysoka,ciezki,srednia,znane,0.4,0.35,0.689,0.6037,0.8734,0.5273
S106,wspoldzielone,wysoka,ciezki,srednia,rzadkie,0.4,0.35,0.584,0.6761,0.8734,0.5905
S107,wspoldzielone,wysoka,ciezki,wysoka,znane,0.4,0.35,0.513,0.6978,0.8734,0.6095
S108,wspoldzielone,wysoka,ciezki,wysoka,rzadkie,0.4,0.35,0.408,0.7599,0.8734,0.6637
S109,zatloczone,niska,lekki,niska,znane,0.75,0.62,0.783,0.5627,0.524,0.2948
S110,zatloczone,niska,lekki,niska,rzadkie,0.75,0.62,0.678,0.6381,0.524,0.3343
S111,zatloczone,niska,lekki,srednia,znane,0.75,0.62,0.635,0.6463,0.524,0.3387
S112,zatloczone,niska,lekki,srednia,rzadkie,0.75,0.62,0.53,0.7146,0.524,0.3745
S113,zatloczone,niska,lekki,wysoka,znane,0.75,0.62,0.459,0.7348,0.524,0.385
S114,zatloczone,niska,lekki,wysoka,rzadkie,0.75,0.62,0.354,0.7915,0.524,0.4147
S115,zatloczone,niska,sredni,niska,znane,0.75,0.62,0.783,0.5627,0.62,0.3489
S116,zatloczone,niska,sredni,niska,rzadkie,0.75,0.62,0.678,0.6381,0.62,0.3956
S117,zatloczone,niska,sredni,srednia,znane,0.75,0.62,0.635,0.6463,0.62,0.4007
S118,zatloczone,niska,sredni,srednia,rzadkie,0.75,0.62,0.53,0.7146,0.62,0.4431
S119,zatloczone,niska,sredni,wysoka,znane,0.75,0.62,0.459,0.7348,0.62,0.4556
S120,zatloczone,niska,sredni,wysoka,rzadkie,0.75,0.62,0.354,0.7915,0.62,0.4907
S121,zatloczone,niska,ciezki,niska,znane,0.75,0.62,0.783,0.5627,0.7224,0.4065
S122,zatloczone,niska,ciezki,niska,rzadkie,0.75,0.62,0.678,0.6381,0.7224,0.4609
S123,zatloczone,niska,ciezki,srednia,znane,0.75,0.62,0.635,0.6463,0.7224,0.4669
S124,zatloczone,niska,ciezki,srednia,rzadkie,0.75,0.62,0.53,0.7146,0.7224,0.5163
S125,zatloczone,niska,ciezki,wysoka,znane,0.75,0.62,0.459,0.7348,0.7224,0.5308
S126,zatloczone,niska,ciezki,wysoka,rzadkie,0.75,0.62,0.354,0.7915,0.7224,0.5718
S127,zatloczone,srednia,lekki,niska,znane,0.75,0.62,0.783,0.6818,0.638,0.435
S128,zatloczone,srednia,lekki,niska,rzadkie,0.75,0.62,0.678,0.7459,0.638,0.4759
S129,zatloczone,srednia,lekki,srednia,znane,0.75,0.62,0.635,0.7527,0.638,0.4802
S130,zatloczone,srednia,lekki,srednia,rzadkie,0.75,0.62,0.53,0.8066,0.638,0.5146
S131,zatloczone,srednia,lekki,wysoka,znane,0.75,0.62,0.459,0.8219,0.638,0.5243
S132,zatloczone,srednia,lekki,wysoka,rzadkie,0.75,0.62,0.354,0.8634,0.638,0.5509
S133,zatloczone,srednia,sredni,niska,znane,0.75,0.62,0.783,0.6818,0.734,0.5004
S134,zatloczone,srednia,sredni,niska,rzadkie,0.75,0.62,0.678,0.7459,0.734,0.5475
S135,zatloczone,srednia,sredni,srednia,znane,0.75,0.62,0.635,0.7527,0.734,0.5525
S136,zatloczone,srednia,sredni,srednia,rzadkie,0.75,0.62,0.53,0.8066,0.734,0.592
S137,zatloczone,srednia,sredni,wysoka,znane,0.75,0.62,0.459,0.8219,0.734,0.6032
S138,zatloczone,srednia,sredni,wysoka,rzadkie,0.75,0.62,0.354,0.8634,0.734,0.6338
S139,zatloczone,srednia,ciezki,niska,znane,0.75,0.62,0.783,0.6818,0.8364,0.5702
S140,zatloczone,srednia,ciezki,niska,rzadkie,0.75,0.62,0.678,0.7459,0.8364,0.6239
S141,zatloczone,srednia,ciezki,srednia,znane,0.75,0.62,0.635,0.7527,0.8364,0.6295
S142,zatloczone,srednia,ciezki,srednia,rzadkie,0.75,0.62,0.53,0.8066,0.8364,0.6746
S143,zatloczone,srednia,ciezki,wysoka,znane,0.75,0.62,0.459,0.8219,0.8364,0.6874
S144,zatloczone,srednia,ciezki,wysoka,rzadkie,0.75,0.62,0.354,0.8634,0.8364,0.7222
S145,zatloczone,wysoka,lekki,niska,znane,0.75,0.62,0.783,0.7811,0.752,0.5874
S146,zatloczone,wysoka,lekki,niska,rzadkie,0.75,0.62,0.678,0.8302,0.752,0.6243
S147,zatloczone,wysoka,lekki,srednia,znane,0.75,0.62,0.635,0.8352,0.752,0.6281
S148,zatloczone,wysoka,lekki,srednia,rzadkie,0.75,0.62,0.53,0.8741,0.752,0.6573
S149,zatloczone,wysoka,lekki,wysoka,znane,0.75,0.62,0.459,0.8848,0.752,0.6654
S150,zatloczone,wysoka,lekki,wysoka,rzadkie,0.75,0.62,0.354,0.9133,0.752,0.6868
S151,zatloczone,wysoka,sredni,niska,znane,0.75,0.62,0.783,0.7811,0.848,0.6624
S152,zatloczone,wysoka,sredni,niska,rzadkie,0.75,0.62,0.678,0.8302,0.848,0.704
S153,zatloczone,wysoka,sredni,srednia,znane,0.75,0.62,0.635,0.8352,0.848,0.7083
S154,zatloczone,wysoka,sredni,srednia,rzadkie,0.75,0.62,0.53,0.8741,0.848,0.7413
S155,zatloczone,wysoka,sredni,wysoka,znane,0.75,0.62,0.459,0.8848,0.848,0.7503
S156,zatloczone,wysoka,sredni,wysoka,rzadkie,0.75,0.62,0.354,0.9133,0.848,0.7744
S157,zatloczone,wysoka,ciezki,niska,znane,0.75,0.62,0.783,0.7811,0.9504,0.7423
S158,zatloczone,wysoka,ciezki,niska,rzadkie,0.75,0.62,0.678,0.8302,0.9504,0.789
S159,zatloczone,wysoka,ciezki,srednia,znane,0.75,0.62,0.635,0.8352,0.9504,0.7938
S160,zatloczone,wysoka,ciezki,srednia,rzadkie,0.75,0.62,0.53,0.8741,0.9504,0.8308
S161,zatloczone,wysoka,ciezki,wysoka,znane,0.75,0.62,0.459,0.8848,0.9504,0.8409
S162,zatloczone,wysoka,ciezki,wysoka,rzadkie,0.75,0.62,0.354,0.9133,0.9504,0.868
